name,category,neighborhood,address,phone,lat,lng,tier,product_tags,recognition,what_to_order,price_range,reservation,best_time,notes,verdict,caveat,iconic_orders
Stani,Dairy bar,Omonia · Marikas Kotopouli St,"Marikas Kotopouli 10, 104 32 Athens",+30 210 523 3637,37.98543,23.72793,Breakfast & brunch,Since 1931 · Last galaktopoleio · Fair gold 1953,THESSALONIKI FAIR 1953 — gold medal for its sheep's-milk yogurt,"Sheep's-milk yogurt, honey and walnuts: cool, dense, faintly gamey, under mountain fir honey and crushed walnuts.",~EUR 5–10 pp,None — counter service,"Breakfast, or the mid-afternoon lull","Gritty Omonia block — go for the food, not the street; takeaway yogurt tubs travel; born in Piraeus 1931, refounded Omonia 1949.","The last true galaktopoleio in central Athens — sheep's-milk yogurt so dense the spoon stands upright, and no one in the centre does it better.","Not a café to linger in — no espresso ritual, no brunch plates, no laptops; you eat dairy the old way and leave.","Sheep's-milk yogurt, honey & walnuts · Anthogalo with honey · Rizogalo · Fresh butter and kaimaki cream"
Krinos,Loukoumas,Historic centre · Aiolou pedestrian St,"Aiolou 87, 105 51 Athens",+30 210 321 6852,37.98041,23.72841,Breakfast & brunch,Since 1923 · Ring loukoumas · Asia-Minor,,"Loukoumades me meli: ring-shaped, crisp shell, molten crumb, honey syrup, heavy cinnamon, served scalding.",~EUR 4–8 pp,None — marble tables,Mid-morning with a Greek coffee,"Century-old room, tight at rush — takeaway window moves faster; the loukoumas is ring-shaped (Constantinople style), not the round norm.","A century on, no loukoumas in Athens has caught up with its honey-syruped, cinnamon-dusted ring.","Not for phyllo purists on a bougatsa pilgrimage, and not a lingering brunch room — marble, syrup and speed.",Loukoumades me meli · Greek coffee · Bougatsa me krema
The Underdog,Coffee,"Thissio · Irakleidon, off Apostolou Pavlou","Irakleidon 8, 118 51 Athens",+30 213 036 5393,37.97494,23.71915,Breakfast & brunch,World-champ barista · Micro-roastery · Benchmark brunch,"SCA — Michalis Dimitrakopoulos, 2016 World Coffee in Good Spirits Champion & 2019 World Barista finalist","Flat white on the house roast: silky, cocoa-dark, zero bitterness, beside warm chocolate babka.",~EUR 15–25 pp brunch,Online booking; walk-ins wait,Weekday 09:00–11:00,"Flagship closes 19:00 — no late-night bar phase here; weekend brunch queues; micro-roastery on site; online booking, walk-ins wait.",Athens' most decorated coffee room also cooks the city's benchmark brunch — and the flat white will still outclass whatever lands on the plate.,Not for a quiet solo session at peak — weekend brunch is a scrum; but a weekday 08:00 espresso is exactly available.,Flat white · Chocolate babka · Eggs Benedict · Coffee cocktail
Oinomageireio I Ipeiros,Patsas,"Varvakios Market · Filopoimenos side, off Athinas","Filopoimenos 4, Varvakios Agora, 105 51 Athens",+30 210 324 0773,37.98033,23.72805,Late night — after service,Since 1898 · Last in the market · Dawn patsas,,"White beef patsas: steam fogging the marble, spiked with your own skordostoumpi garlic-vinegar.",EUR 8–15 pp,None — share a marble top,"07:00–09:00, clubbers meet butchers","Now keeps market hours ~07:00–18:00 — the dawn stop, NOT the 3 a.m. one; last patsatzidiko inside Varvakios; walk past hanging carcasses.","The last patsatzidiko inside the Varvakios meat market — the Athenian night's official final stop since 1898, now taken at dawn rather than at three.",Not for the 03:00 crowd anymore — it closes late afternoon; and not for anyone squeamish about hanging carcasses at breakfast.,"Patsas (white, beef) · Gida vrasti (boiled goat) · Magiritsa · Moschari kokkinisto"
O Makis,Patsas,"Peristeri · Leoforos Thivon, western Athens","Leoforos Thivon 235, Peristeri",+30 210 577 6136,38.01976,23.69314,Late night — after service,Since 1994 · 24/7 · Only cauldrons,,"Patsas chontrokommenos: coarse-cut tripe from the cauldron, lashed with garlic-vinegar and scarlet boukovo oil.",EUR 8–14 pp,None — 24h counter,04:00–06:00 with the night shift,"20–25 min taxi from the centre or Piraeus; 24/7, closed only Easter Sunday; the only patsatzidiko in Athens still using dedicated cauldrons.","Athens' hardest-working patsas cauldron: hundreds of portions a day, open every hour of the year except Easter Sunday.","Not a taverna evening — a fluorescent-lit working canteen deep in Peristeri; tripe-refusers get gyros, not poetry.",Patsas chontrokommenos (coarse-cut) · Patsas psilokommenos (fine-cut) · Grills and gyros
Bougatsadiko I Thessaloniki stou Psyrri,Bougatsa,"Psyrri · Plateia Iroon corner, at Miaouli","Plateia Iroon 1, 105 54 Athens",+30 210 322 2088,37.97843,23.72492,Late night — after service,Hand-opened phyllo · Weekend 24h · Dawn bougatsa,,"Bougatsa me krema: warm custard, shattering phyllo, buried under cinnamon and icing sugar at dawn.",EUR 4–8 pp,None — counter and square,"Weekend dawn, 05:00–07:00",24h is weekend-only — Sun–Thu closes ~02:00; phyllo hand-opened on marble in the window; phone-check the late hours.,"Psyrri's dawn bougatsa: hand-opened phyllo on Heroes' Square, and on weekends the pans do not stop for twenty-four hours.","Not a refined patisserie — square-side chairs, bar-crowd noise; and midweek the shutters come down around 02:00.",Bougatsa me krema · Bougatsa me kima · Bougatsa me tyri
Elvis,Kalamaki,Kerameikos · Plataion & Leonidou corner,"Plataion 29 & Leonidou, 104 35 Athens",+30 210 345 5836,37.98111,23.71645,Late night — after service,Kalamaki only · No wraps · Late-night,,"Pork kalamaki, by the pair: salt, char and juice, with grilled pita quarters and a beer.",EUR 5–10 pp,None — counter and stools,"Late, after the Kerameikos bars","No wraps — bare kalamakia only, order skewers by count; Kerameikos original runs to ~03:00, Fri/Sat ~05:00; standing-room tiny.","The Athenian kalamaki needs nothing but salt, charcoal and midnight — leave without ordering a second round of skewers and we got it wrong.","Not for wrap-seekers, daylight romantics or anyone needing a table — a butcher's-corner counter that peaks after midnight.","Pork kalamaki, by the pair · Keftedes skewer · Grilled corn pita · Hand-cut fries"
Ta Karamanlidika tou Fani,Pastourma,"Psyrri edge · Sokratous & Evripidou, by Varvakios market","Sokratous 1 & Evripidou 52, 105 52 Athens",+30 210 325 4184,37.98014,23.72569,The Asia Minor kitchens,Since 2014 · Pastourma row · Galley-packs,Athinorama 2018 & 2019 — Greek Cuisine tribute pick,Pastourma pie: fenugreek-crusted cured beef and molten cheese in crackling hot phyllo,EUR 20-25 pp,Book — peak waits; rooftop tables go first,Lunch after the Varvakios market walk,Closed Sunday; book or queue at peak. Deli counter vacuum-packs pastourma/soutzouki that survive a week in a galley fridge. A second branch exists at Ermou 119 — this is the original Sokratous/Evripidou flagship.,The pastourma pie and the deli counter alone justify crossing town; everything past the cured-meat canon is merely good.,"Not for vegetarians or the cumin-averse, and dark on Sundays.",Karamanli pastourma platter · Pastourma with eggs · Grilled soutzouki · Vacuum-packed pastourma
Miran,1922 deli,Market quarter · Evripidou spice street,"Evripidou 45, 105 54 Athens",+30 210 321 7187,37.97995,23.72568,The Asia Minor kitchens,Since 1922 · 4 generations · At-source cure,,Aged veal pastourma: paper-thin mahogany slices under a faintly bitter mustard-yellow tsimeni crust,Deli — pay by weight; counter tasting plates,No booking — a shop with a tasting corner,"Late morning, spice trade in full cry","Closed Sunday; shop hours only, no evening service — call ahead. It's a deli with a tasting corner, not a restaurant. Vacuum-packed pastourma is the best edible souvenir of 1922 Athens for a galley. The 'largest EU producer' line is the company's own uncorroborated claim.","No shop in Athens sells better pastourma, and the standing counter-tasting outclasses most sit-down meze in the quarter.","Not a restaurant — no full meals, no evening hours, strictly carnivore territory.",Armenian soutzouk · Counter tasting board · Rarity pastourmas
To Aigyptiakon,1st kebab,"Nikaia (Piraeus) · Petrou Ralli, old Kokkinia","Petrou Ralli 168, 184 54 Nikaia",+30 210 418 2920,37.97308,23.66019,The Asia Minor kitchens,Since 1924 · Greece's 1st kebab · Refugee Nikaia,LiFO 2021 — profiled as one of Greece's best kebabs,"Kebab yogurtlou: charcoal-grilled hand-minced kebab on pita under warm tomato, sumac and yogurt",EUR 10-18 pp (est.),Walk-in; phone ahead for groups,"Right at the 17:00 opening, before the queue",Evenings only and closed Sunday; ~25 min from central Athens — pair with a Kokkinia refugee-streets walk. Right at the 17:00 opening beats the queue. Price is an estimate (souvlaki-house tier).,"Greece's first kebab house, grilling since 1924, still makes one of its best — worth the ride from the port on a Saturday evening.","Not central and not scenic — a working-class Nikaia avenue, dinner-only, zero frills.",Adana kebab in pita · Falafel · Lahmajun · Charcoal tiropita
"Peran, to Kafe Aman",Café aman,"Nea Chalkidona · Dekeleias, northern refugee belt","Dekeleias 20, 143 43 Nea Chalkidona",+30 210 253 3896,38.02842,23.73372,The Asia Minor kitchens,Politiki kouzina · Live cafe aman · House-baked,Athinorama 2026 — the guide's only politiki-kouzina table,"Yogurt kebab with cumin: juicy, gently spicy, bleeding into the house-baked bread",EUR 25-30 pp,Book on live-music nights,Fri/Sat night for sets; Sun afternoon for lunch,Open Wed-Sat evenings plus Sunday afternoon only. Book on live-music nights — the sets fill the stone room. Appetisers chosen off a passing tray; bread and sweets baked in-house.,"The last politiki-kouzina table standing in Athinorama's guide, and the live cafe-aman nights alone justify crossing the refugee belt.","Not a quick stop — music nights run long and loud, and it's closed Monday to Wednesday lunch.",Meze tray selection · Hunkar begendi · House Politiki sweets
Kostas (Agia Irini),Souvlaki,"Monastiraki · Plateia Agias Eirinis, by the church","Plateia Agias Eirinis 2, 105 60 Athens",+30 210 323 2971,37.97712,23.72834,The souvlaki canon,Since 1946 · EUR 3 wrap · Secret sauce,,"Souvlaki me ap'ola, hot sauce: charred pork, chopped tomato, the fiery house 'farmako' red.",EUR 3–7 pp,None — stand in the queue,Before the 13:00 office wave,Sells out then shutters — arrive before 15:00; wrap was EUR 3 (Feb 2025); NOT the unrelated 'since 1950' Kostas on Filellinon; carry cash.,The three-euro wrap from this postwar hole-in-the-wall still beats every chef-built souvlaki in Athens — arrive after 15:00 and the meat is likely gone.,"Not for sit-down comfort or late lunches — no tables, and no mercy once the day's meat is finished.","Souvlaki me ap'ola, hot sauce · Kalamaki sketo · Bifteki wrap, medium sauce"
