name,category,neighborhood,address,phone,lat,lng,tier,product_tags,recognition,what_to_order,price_range,reservation,best_time,notes,verdict,caveat,iconic_orders
Dyosmos,Producers,Freattyda · Leoforos Freattydos,"Leof. Freattydos 42A, Freattyda, Piraeus",+30 210 4611335,37.9332,23.64449,The ouzeri & the meze,Cretan staka pasta · Schinousa fava · Tsipouro,LiFO 2019 — 'Greek cooking with a strong identity' in Freattyda,"Cretan pasta with smoked pork and staka: handmade pasta, smoked pork, melting sheep-butter staka cream, salt-bright — around €9.",€/€€ · many mezedes under €15,Book weekends,"Evening, in the neoclassical room","Book weekends; ingredient-led room, not a fry-joint; many mezedes under €15; ask what's new from the producers; near the Freattyda coast.","A meze kitchen built producer by producer, plating Cretan staka pasta and Schinousa fava in a 1920 neoclassical room with most small plates under €15 — the most identity-driven table in Freattyda, and not a sea-view fry-joint.",Not a sea-view harbour taverna nor a cheap-fry joint — it's an ingredient-led room.,Cretan pasta with smoked pork and staka cream · Schinousa fava with Eurytania prosciutto · Mushroom sauté with Xanthi kasseri · Tzoumagia sausage with mustard & rakomelo · Aegean shrimp pasta · Tsipouro / ouzo
Ikariotiko Kafeneio,Ikarian,"Central Piraeus · Aristeidou St, off the port gates","Aristeidou 17, Piraeus",+30 210 4130090,37.94646,23.64268,The ouzeri & the meze,Tsipouro · Fava · Meze plates,Greek Gastronomy Guide — a listed Piraeus landmark kafenio,"Cold tsipouro with fava, keftedakia and dolmades: split-pea purée, little fried meatballs, tight vine leaves, plate after plate.",€ · cheap tsipouro-and-meze,None — walk in,"Afternoon, over tavli","Walk in — no bookings; relocated to Aristeidou 17 in 2023; cash, cheap tsipouro-and-meze; afternoons over tavli; smoky, no view.","Retired Ikarian sailors playing tavli, cheap tsipouro, and mezedes that arrive unbidden without a card — the most island-true kafenio near the port gates, never a dinner destination.","Not a destination dinner and no view — a smoky, no-frills community kafenio.",Fava · Loukaniko (sausage) · Dolmades · Keftedakia · Fried potatoes · Tsipouro / ouzo
To Eidikon,Est.1920,"Agios Dionysios · Psaron & Salaminos, behind the Papastrateio","Psaron 38 & Salaminos, Piraeus",+30 210 4612674,37.95564,23.63379,Neighbourhood dives — the barrel-tavernas & koutoukia,Barrel retsina · Meze · Fried eggs,LiFO 2023 — one of 'ten Piraeus shops that wrote history',"Cellar retsina: cold and resin-sharp, poured beside fried potatoes under four runny eggs.","€ · cheap meze, barrel wine",No — walk in,"Weekday early evening, before the room fills",Call to confirm the day; cash-simple; barrel retsina from the cellar below; 1938 ice-box and Occupation bullet holes on the shutters.,The last true barrel-wine oinopantopoleio in Piraeus — a 1920 room where the retsina is still pressed in the cellar directly below your table.,"Not for anyone wanting a menu, a wine list or polish — five or six mezedes and barrel retsina, cash-simple, in a cramped old room.",Cellar retsina · Patates me avga · Keftedes · Fried liver (sykoti) · Corned-beef omelette · Fava
Propolemikon,Est.1896,"Agios Dionysios · Dervenakion St, behind the port","Dervenakion 22, Agios Dionysios, Piraeus",+30 210 4629229,37.9604,23.63762,Neighbourhood dives — the barrel-tavernas & koutoukia,Barrel wine · Magirefta · Rebetika,LiFO 2018 — one of 'ten Piraeus shops that made history',"Barrel wine: rough, cold from the stone cellar, poured under walls that heard Vamvakaris play.",€–€€,Advisable on music nights,"A rembetiko night, late",PHONE-AHEAD (substantive press is 2018); live rebetika Sat 22:00 & Sun 14:00; block-level coord; barrel wine and daily magirefta.,A stone-walled 1896 oinomageireio where the legendary Piraeus rembetiko quartet once played and the house wine still comes from cellar barrels.,"Not for a quiet, refined dinner — a smoky, music-first old room; phone to confirm it is open and whether there is rembetika that night.",Barrel wine (chyma) · Mageirefta tis imeras · Keftedes · Loukaniko · Cheese saganaki · Gigantes
To Koutouki tou Antoni,Fig tree,Palaia Kokkinia · alley above Thivon St,"Argyrokastrou 26, Palaia Kokkinia, Piraeus",+30 210 4924338,37.96076,23.65764,Neighbourhood dives — the barrel-tavernas & koutoukia,Barrel wine · Bakaliaros · Fig-tree yard,Newsbeast 2021 — 'seven authentic koutoukia',"Bakaliaros skordalia: fried cod with fierce garlic-potato purée, barrel wine, under the fig tree.",€–€€,Advisable at weekends,A warm summer night in the courtyard,"Closed Mondays; weekends busiest, book ahead; courtyard around a whitewashed fig tree; cash.","A 1958 Kokkinia koutouki built around a whitewashed fig tree, where floral-cloth tables and barrel wine make dinner feel like a refugee-quarter courtyard from another century.","Not for the design-conscious or the hurried — deliberately old, tiled and floral; the joy is the courtyard, not the plating.",Bakaliaros skordalia · Fava · Sykoti · Keftedakia · Pancetta · Chyma krasi
Polyvios,Est.1935,Drapetsona · Agiou Dimitriou kebab row,"Agiou Dimitriou 28, Drapetsona 186 48",+30 210 4617563,37.9509,23.63518,"The refugee kitchens — Kokkinia, Nikaia & Drapetsona",Charcoal kebab · Pontic soutzouki · Merida,iskra 2024 — the oldest of the Drapetsona kebab row,"Merida (open portion): two pitas heaped with charcoal meat, quartered tomato, onion and parsley.","€ · cheap, no published prices",No — counter and paper,"Weekday evening, an open portion off the charcoal","COORD APPROX (block-level, no geocode for no.28 — nearest anchor is the halva shop at no.9); phone-ahead (press is Apr 2024); cash; charcoal only; one of three survivors on the old kebab row.","Drapetsona's oldest kebab house — a Pontic refugee's 1935 grill, still hand-cutting every portion three generations on, on a kebab row that has all but gone cold around it.","Not central and not a scene — a back-street Drapetsona grill beyond the port gates, charcoal-and-meat only, cash; phone ahead.",Merida (open portion) · Soutzouki (Pontic) · Kebab · Biftekakia (round) · Pork souvlaki · Patates (hand-cut)
Souvlakia o Serkos,Armenian,"Kokkinia · Plateia Neraidas, behind Thivon","Ionos Dragoumi 39-41, Kokkinia, Piraeus 185 42",+30 210 4928297,37.96339,23.65458,"The refugee kitchens — Kokkinia, Nikaia & Drapetsona",Armenian kebab · Soutzouki · Pastourma,LiFO 2021 — 'the authentic Armenian kebab of Serkos',"Armenian kebab: lamb-and-beef mince, only salt and pepper, charcoal-blistered, pillow-soft.",€ · cheap grill fare,No,"Early evening, when the plateia fills","Phone to confirm grill hours; cash; tables out on Plateia Neraidas; salt-and-pepper mince only, the last Armenian kebab in the port.",Piraeus's last Armenian charcoal kebab — a refugee family's salt-and-pepper mince that shames every over-spiced imitation.,"Not for spice-seekers or a polished dinner — a plateia grill shack, a handful of items, cash.",Armenian kebab · Soutzouki (handmade) · Pastourma salad · Pork souvlaki · Pita
Alargino,Smyrna,"Nikaia · Agiou Ioannou, near the centre","Agiou Ioannou 2, Nikaia 184 50",+30 210 4910770,37.9663,23.65285,"The refugee kitchens — Kokkinia, Nikaia & Drapetsona",Smyrna soutzoukakia · Pastourmalopita · Live music,In2life 2023 — 'the best mezedes of Nikaia',"Smyrnaïka soutzoukakia: handmade cumin-scented mince in tomato, the refugee city on a plate.",€€ · ~€15–20pp,Advisable on music nights,"A music night, for old-Kokkinia atmosphere",Call to confirm music nights; loud on weekends; owner Χατζόγλου per registry; Smyrna soutzoukakia and pastourmalopita; ~€15–20pp.,The neighbourhood table that keeps Smyrna on the plate — handmade Smyrnaïka soutzoukakia and pastourma pie under live strings.,"Not a quiet or gourmet room — a loud, music-filled neighbourhood mezedopoleio, not a destination showpiece.",Soutzoukakia Smyrnaïka · Pastourmalopita · Melitzanes gemistes · Hoirini tiganià · Saligkaria stifado
Taverna tou Katsogiannou,Est.1930,Drapetsona · opposite the church of Agios Panteleimon,"Agiou Panteleimonos 15, Drapetsona 186 48",+30 210 4613209,37.94594,23.62744,"The refugee kitchens — Kokkinia, Nikaia & Drapetsona",Ouzo meatballs · Magirefta · Lamb chops,"Athinorama 2023 — critics' review, 13.5/20","Keftedakia me ouzo: ouzo-flambéed meatballs in red sauce, hand-cut fries for dipping.",€€ · ~€15–25pp,"Advisable, especially weekends","Lunch, for the magirefta and meatballs","Closed Mondays and Sunday evenings, lunch-focused; book weekends; the ouzo-meatball is the order; a working 1930s Prestcold fridge inside.","The oldest taverna in Drapetsona (since 1930), where Dora Stavridou's ouzo-doused meatballs in red sauce have become, in the local phrase, 'an urban myth.'","Not for late-night eating or a big fish spread — lunch-focused, closed Sunday evenings and Mondays, firmly meat-and-magirefta.",Keftedakia me ouzo · Paidakia (lamb chops) · Smyrneiko kaiserli · Bakaliaros tiganitos · Magirefta tis imeras · Patates tiganites
Toukta Thai Food,6 tables,"Nikaia · Ionias & Thrakis, the 1922 refugee grid","Ionias 3 & Thrakis, Nikaia 184 50",+30 210 4908866,37.9669,23.64506,Ethnic tables — the special ones,Pad thai · Thai curry · €7 plates,FlagInLife 2024 — 'an unexpected Thai experience in Nikaia',"Pad thai: tamarind-slicked rice noodles, peanuts, lime, wok-hot and fresh.",€ · mains ~€7,Advisable — only ~6 tables,Book ahead; the tiny room fills fast,Book ahead — only ~6 tables; mains ~€7; mainly evenings; e-food delivery; no Greek-classics menu.,"Proof Kokkinia's immigrant table didn't end in 1922 — a six-table Thai kitchen turning out the real, fresh-pounded thing at €7 a plate.",Not for the taverna-traditionalist or big groups — a cramped six-table room with no Greek-classics menu.,Pad thai · Spicy soup (minced meat) · Thai curry · Steamed jasmine rice · Thai iced tea
Sushi Rolls,Sushi,"Piraeus centre · behind Agios Nikolaos, near Akti Miaouli","Agiou Nikolaou 3, Piraeus",+30 210 4284439,37.93838,23.64045,Ethnic tables — the special ones,Sushi · Sake · Shipping canteen,Athens Voice 2025 — 'a diamond of Japanese cuisine in Piraeus',"Crispy Salmon & Tuna Garlic rolls: cut to order, with cold or warm sake.",€€ · intimate sushi bar,Advisable — small room,"Weekday evening, when the offices empty","HONEST TIER — solid, not 50 Best/Michelin; small room, book; behind Agios Nikolaos; fish from Greek suppliers; coord street-level approx.","The reliable non-Greek table with a story — a shipping-office-canteen sushi bar behind the seamen's church, cut to order for the people who move ships.","Not a headline — Piraeus's real 'foreign' greatness is the refugee kitchen; this is the reliable, honest table with a story.",Crispy Salmon roll · Tuna Garlic roll · Nigiri selection · Sake (cold / warm) · Asahi
O Giorgos,€2.50,"Central Piraeus · Gounari, by the old flea market","Dimitriou Gounari 18 & Nikita, Piraeus",+30 211 4033388,37.94619,23.64438,Bargain plates — the souvlaki & the wrap,Meatball wrap · €2.50 · Red sauce,in2life 2025 — #1 of Piraeus's top-five souvlaki,"Bifteki wrap: two hand-formed beef meatballs, salt and pepper, soft pita, spicy red sauce.",€ · wrap ~€2.50,No — corner counter,"Weekday lunch, straight off the grill","DAYTIME ONLY, closes early evening; barely any seating; the €2.50 beef-meatball wrap; expect a queue.",Piraeus's cult modern souvlaki — a ~€2.50 hand-formed beef-meatball wrap that locals and the food press repeatedly rank the city's best.,"Not for a sit-down dinner — daytime only, closes early evening, seating barely there.",Bifteki (meatball) souvlaki · Pork kalamaki · Homemade red sauce · Pita · Tomato & onion
O Karabelas,Gyro €3,"Neo Faliro edge · Pylis, near Karaiskakis Stadium","Pylis 51, Piraeus",+30 210 4112622,37.94401,23.65624,Bargain plates — the souvlaki & the wrap,Gyros · Red sauce · Olympiacos,in2life 2025 — a Piraeus top-five souvlaki,"Gyros pita: pork gyro, warm pita, the slightly spicy house red sauce.",€ · wrap ~€3,No — standing room,"Early evening, before the gyro sells out","EVENINGS ONLY from ~18:00, closed Sunday; go before the gyro sells out; standing room; Olympiacos shrine near Karaiskakis.","The most atmospheric old-school souvlatzidiko in Piraeus — half Olympiacos museum, half standing-room grill, still turning out ~€3 wraps after nearly fifty years.","Not for a comfortable meal or the sauce-shy — a cramped, standing-room grill, evenings only.",Gyros pita · Chicken kalamaki · Keftedaki (meatball) · House red sauce · Burger
Avraam,Giaourlou,"Drapetsona · Sokratous, refugee quarter behind the port","Sokratous 3, Drapetsona",+30 210 4615841,37.95031,23.62831,Bargain plates — the souvlaki & the wrap,Giaourlou · Souvlaki · Soutzouki,iskra 2024 — one of Drapetsona's two historic kebab houses,"Giaourlou: skewered kebab over fried pita, blanketed in cool Epirote yogurt.",€,No,"Evening, for the coal-skewers and the giaourlou",COORD APPROX (Sokratous has disconnected segments — verify on arrival); the giaourlou is the order; NOT the oldest (Polyvios 1935 is); cash; delivery on e-food/Wolt.,"The other survivor of Drapetsona's old kebab row — a 1938 charcoal grill trading on generous meat and a fluffy, slightly-spiced pita, worth the walk past the port gates for the real thing.","Not central and not a scene — a back-street Drapetsona grill, a walk beyond the port gates, meat only.",Giaourlou (yogurt kebab) · Pork souvlaki · Soutzouki · Grilled tomato & fried pita · Slightly-spiced pita
Mastronikolas,Est.1909,Kastella · Karaoli & Dimitriou avenue,"Karaoli & Dimitriou 68, Piraeus 185 34",+30 210 4123783,37.9427,23.65195,Breakfast & the dawn pies,Galaktoboureko · Rizogalo · Kaimaki ice,Cookout/SKAI 2024 — 'the historic galaktopoleio of Piraeus',"Galaktoboureko: warm, semolina custard oozing under shatter-crisp golden phyllo.",€ · a few euros a slice,Walk-in; counter service,"Mid-morning, a warm slice with Greek coffee","Take-away sweets counter — no seating/brunch; the galaktoboureko is the order; original 1909 milk-can kept as heirloom; the Kastella original, not the Pasalimani branch.","The oldest galaktopoleio in Piraeus (since 1909), whose generous, crisp-topped galaktoboureko ranks among the best in Attica.","Not a place to linger — a sweets counter to take away, with no savoury or brunch breakfast.",Galaktoboureko · Rizogalo · Krema · Kaimaki ice cream · Strained sheep's-milk yogurt
Euxeinon,Piroski,"Trouba · Navarchou Notara, by the port","Navarchou Notara 50, Piraeus 185 35",+30 213 0280000,37.94101,23.64356,Breakfast & the dawn pies,Piroski · Pontic recipe · Dawn fry,LiFO 2022 — among the best piroski in Piraeus,"Piroski kima: golden, blistered mince pocket, fried to order and eaten scalding.",€ · a couple of euros each,No — grab-and-go,"Mid-morning, when the fryer is going","Gone by midday — go mid-morning; fried, hearty, grab-and-go; Sat-only peinirli and pastitsio; phone/coord street-level approx.",The best-loved piroski in Piraeus — a half-century Pontic-refugee bakery frying cheese and mince pockets golden to order from an unbroken family recipe.,"Fried, hearty and gone by midday — not for a light, sweet or late breakfast; a grab-and-go counter.",Piroski kima (mince) · Piroski tyri (cheese) · Piroski patata · Peinirli me pastourma (Sat) · Saturday pastitsio · Greek coffee
Bougatsa Pavlidi,24 hours,"Nikaia · Petrou Ralli, near the state hospital","Petrou Ralli 168, Nikaia 184 54",+30 210 4955540,37.9731,23.66024,"Late night — after the boat, after the bouzoukia",Bougatsa · 24-hour · Phyllo pies,LiFO 2021 — named the best bougatsa in Piraeus,"Sweet bougatsa: crackling hot phyllo, warm semolina cream, caramelised sugar, cinnamon dust.",€ · a couple of euros each,"None — walk-up counter, no seats","3–6 a.m., phyllo hot off the tray","OPEN 24h; no seats, no coffee — bakery counter deep in Nikaia; best 3–6 a.m. off the tray; sweet semolina bougatsa; taxi/bus from the harbour.","The last 24-hour phyllo workshop in working-class Piraeus, still turning out the port's benchmark bougatsa fresh before dawn.","Not a café — no seats, no coffee ritual, no view; a bakery counter deep in residential Nikaia, a bus or taxi from the harbour.",Sweet bougatsa (γλυκιά) · Savoury bougatsa with feta · Piroski · Peinirli · Kimadopita · Tyropita
Kantina o Plastiras,Port quay,"Drapetsona · Akti Vasileiadi, Lipasmata quay (Gate E1/E2)","Akti Vasileiadi (Gate E1/E2), Drapetsona 186 48",+30 210 4633820,37.94462,23.63081,"Late night — after the boat, after the bouzoukia",Kalamaki · Port canteen · Late-night,LiFO — chef Vasilis Kallidis's port-canteen pick,"Pork kalamaki: charred and juicy, with grilled bread to mop the pan juices.",€ · a couple of euros a kalamaki,None — plastic tables on the quay,"Late, after the bouzoukia or a night ferry","HOURS UNPREDICTABLE (opens early, runs after the night out); COORDS APPROX (Akti Vasileiadi quay, Gate E1/E2); cash; plastic tables; raw industrial no-man's-land.",Some of the best souvlaki in the city is grilled on a dystopian Drapetsona quay by a man who claims General Plastiras himself as his godfather.,"Not for comfort, a real menu or the pretty side of Piraeus — a truckers' canteen in a raw industrial no-man's-land, hours unpredictable.",Pork kalamaki · Chicken kalamaki · Fresh-cut fries · Feta with oregano · Cold beer
Vosporos,Politiki,Mikrolimano · Akti Koumoundourou quay,"Akti Koumoundourou 20, Mikrolimano, 185 33 Piraeus",,37.93881,23.65985,Where the chefs eat,Politiki kouzina · Peinirli · Live music,Country & Town House — chef Sophia Koletsiou eats here,"Oversized peinirli: a boat of molten four-cheese and pastourma, straight from the oven.",€€ · ~€25–30pp,Recommended; book a music night,"Dinner, a night with live politika/smyrneika",Phone omitted (listings conflict) — book via e-restaurants; live politika/smyrneika some nights; huge portions; Koletsiou single-source chef pick.,"Piraeus's one genuine Politiki-cuisine table — Bosphorus meat-and-mezze in outsized portions, where a Piraeus chef sends you when she wants everything but fish.","Not for small appetites or fish-taverna seekers — meat- and mezze-heavy Politiki cooking in enormous portions, not Aegean seafood.",Oversized peinirli · Politiko saganaki · Adana / sis kebab · Hunkar begendi · Pastourma & soutzouki · Bougatsa
