name,category,neighborhood,address,phone,lat,lng,tier,product_tags,recognition,what_to_order,price_range,reservation,best_time,notes,verdict,caveat,best_night,hot_this_month,source_tier,maps,still_open,last_verified,geo_precision
Agora Meyhanesi,Petite Table,Balat,"Balat, Mürselpaşa Cad. No:185, Fatih, 34087 İstanbul",+90 546 631 21 30,41.033349,28.946504,several,Meyhane|Since 1890,"Time Out Istanbul's entry calls it pre-Republic meyhane culture with 130 years behind it and credits chef Ahmet Arı with sixty mezes — but the page is dated 13 November 2020, so read it as a soft, ageing signal. No ranking body (MICHELIN, 50 Best, Gault&Millau) lists it.",Yaprak ciğer|Bademli kabak|Girit ezmesi|Balık pastırması|Tarama,₺₺₺ — mezes are individually cheap; the rakı is what makes the bill,Book through the house site (agora1890.com) or by phone. It runs at 150 to 200 covers and still fills at weekends.,A long dinner — a meyhane evening is not a two-hour thing,Trading since 1890.,The meyhane as it was before the neighbourhood changed hands,trading seven days a week; own site agora1890.com,Thursday,,canon,https://www.google.com/maps/search/?api=1&query=Agora+Meyhanesi+Istanbul,confirmed,2026-08-15,venue
Casius Antioch Kitchen,Petite Table,Cihangir,"Kılıçali Paşa Mah., Akarsu Yokuşu Sok. No:36/A, 34433 Beyoğlu, İstanbul",+90 547 200 31 31,41.030822,28.983173,several,Antakya|Regional,Bib Gourmand 2026,Antakya-style kebab|Belen tava|Ground zahter and olive oil|Crisp kabak with tahini and walnut,Bib Gourmand band — MICHELIN's marker for good cooking at moderate prices; no menu prices verified,Walk-in or phone +90 547 200 31 31,"Breakfast from 08:00 — the Cihangir habit, and the quietest the room gets","Antakya cooking in Istanbul, which after the 2023 earthquakes carries a weight it did not have before.","A Bib Gourmand in the MICHELIN Guide Türkiye 2026 — one of sixteen new ones in a category that grew to thirty-nine nationally — and the distinction is the right size for the room: careful regional cooking at moderate money, not a tasting-menu occasion. The house publishes 08:00 to 02:00 seven days, which makes it as much a Cihangir breakfast room as a dinner one, and the breakfast trade is a real part of the business. Go for the stone oven and the Hatay table habits, not for a chef's theatre.",Bib Gourmand confirmed on the MICHELIN Guide's own listing,Thursday,New Bib Gourmand in the 2026 selection,canon,https://www.google.com/maps/search/?api=1&query=Casius+Antioch+Kitchen+Istanbul,confirmed,2026-08-15,venue
Tam Ocakbaşı,Ocakbaşı,Arnavutköy,"Arnavutköy Mah., Bebek-Arnavutköy Cad., Beşiktaş, İstanbul — no house number is printed here because sources disagree. Use the map link.",+90 539 927 91 07,41.067658,29.043958,several,Ocakbaşı|Fire counter,,Liver first|Skewers|A lahmacun to close,Arnavutköy prices — above a neighbourhood ocakbaşı; no figures verified,Phone +90 539 927 91 07 — essential for Friday and Saturday,Late dinner,Chef Türev Uludağ.,"A chef's ocakbaşı rather than a neighbourhood one — deliberately smaller than the city's big fire counters, and priced for Arnavutköy. It cooks one region, Adana, and does it straight rather than surveying the southeast. It has grown fast enough to open a summer-season second room in Yalıkavak, Bodrum, which tells you the Istanbul house is working. Weekends are the loud version of it.",⚠ Friday and Saturday evenings are very hard to get into — book ahead,Tuesday or Wednesday,Part of the 2026 modern-ocakbaşı wave,reported,https://www.google.com/maps/search/?api=1&query=Tam+Ocakba%C5%9F%C4%B1+Istanbul,confirmed,2026-08-15,venue
Mesai,Ocakbaşı,Gümüşsuyu,"İnönü Cd. No:26, Gümüşsuyu, Beyoğlu, İstanbul",+90 850 304 31 95,40.881684,29.284741,several,Ocakbaşı|Fire counter,,Mesai Kebap|Ali Nazik|Atom|Trüflü biber boranı,Beyoğlu night-out band; no figures verified,Website only — the house states plainly that it does not accept reservations by phone,"Sunset, for the light on the old city","Ocakbaşı culture against a Bosphorus and Historic Peninsula view, running sunset into night.","A reopening, not a new house. Mesai was a Karaköy fixture, went dark, and came back on İnönü Caddesi in the last days of December 2025 under a glass ceiling, with the strait in front of it and Topkapı, Hagia Sophia and the Maiden's Tower in the frame. It is a night out with a fire counter in it — bar, lighting, a long table — rather than an ocakbaşı you sit at with a rakı and nothing else. Eight months in, it has not been through a full season.","⚠ Do not trust an inherited map pin. The coordinate this guide previously carried, 40.8817 / 29.2847, is in Pendik — some 25 km east, on the Asian side. No lat/lng is published here because none could be verified in OpenStreetMap or anywhere else; use the map search. Reservations are website-only and the house says so flatly: it does not take bookings by phone, so the number above is for everything except a table. No opening hours are published anywhere, including on its own site. And the newest independent coverage is January 2026 — everything since is the house's own site, which carries a 2026 copyright and a live booking flow.",Thursday,Part of the 2026 modern-ocakbaşı wave,reported,https://www.google.com/maps/search/?api=1&query=Mesai+Istanbul,confirmed,2026-08-15,venue
Çıra Ocakbaşı,Ocakbaşı,Sarıyer / Skyland,"Skyland, Huzur Mah., Azerbaycan Cad., D1 Blok No:4d, Sarıyer, İstanbul",,,,several,Ocakbaşı|Fire counter,,Charcoal skewers|Daily meze board|Charcoal-grilled vegetables,Not verified,No verified contact channel — nothing published by the operator beyond a company email,Dinner,,"⚠ Trading status unverified — treat this as a place to ring, not a place to go. On its operator's own description it is a modern ocakbaşı in natural stone and wood: an open fire counter, a meze board that changes daily, vegetables charred on the same coals as the meat. It reads as built for the offices in the towers above it rather than for anyone crossing the city, and no ranking or serious press has been near it.","⚠ Still trading could not be confirmed. The only live evidence is the operator's own brand-portfolio page, which is a company listing rather than proof of a working door; a delivery platform showed it closed when checked on 15 August 2026. No phone is printed here: the number circulating on aggregator listings does not appear anywhere the operator publishes, and a wrong number is worse than none. No hours are published by anyone credible, and no coordinate could be verified — Skyland's towers are mapped, the unit inside them is not. It is also nowhere near the Boğaziçi: the complex sits well inland by Seyrantepe metro. Not re-confirmed as trading when we checked on 2026-08-15 — call ahead before you cross the city for it.",Weeknight,Part of the 2026 modern-ocakbaşı wave,reported,https://www.google.com/maps/search/?api=1&query=%C3%87%C4%B1ra+Ocakba%C5%9F%C4%B1+Istanbul,unverified,2026-08-15,none
Arogan,Opening,Tarabya,"Tarabya Bayırı Caddesi, Şehit Öğretmen Şenay Aybüke Yalçın Sok. 6/3 (the Migros building), 34457 Sarıyer, İstanbul",+90 543 127 27 27,,,several,Modern|Local ingredients,,Oğlak lahmacun|Trüflü kereviz çorbası|Ördek ciğeri pate|Ördek cacio e pepe|Trüflü taş kadayıf|Deniz tuzu karamelli flan,Not published and not verified — ask when you book,Recommended; +90 543 127 27 27 or mektup@arogan.com.tr,From 19:00,Chef Burak Zafer. Opened 30 January 2026.,"Six months old and still finding its crowd, which is why to go now. Anatolian material pushed through modern technique — kid-goat lahmacun, duck-liver pâté, duck cacio e pepe, truffled celery soup — plated tight and priced as a chef restaurant rather than a Bosphorus fish house. It is a long way up the European shore from Beyoğlu, so the drive has to be worth it to you. Confirmed still cooking on 17 July 2026, when the kitchen ran a public event on site.",⚠ CLOSED SUNDAYS AND MONDAYS,"Tuesday to Thursday — quieter, and the kitchen has room to think","2026 wave — local ingredients, modern technique, classics pushed off-centre",reported,https://www.google.com/maps/search/?api=1&query=Arogan+Istanbul,confirmed,2026-08-15,none
Kontuar,Opening,Pera / Asmalımescit,"Asmalı Mescit, Meşrutiyet Cad. No:67A, 34430 Beyoğlu, İstanbul (Passage de Petits Champs)",+90 533 636 62 73,,,several,Fire-focused|Modern,,Glaze dana dil|Körpe havuç|Tuzlu uskumru|Kuzu,"Not published — à la carte, whole cuts of meat and fish",Essential; +90 533 636 62 73,"First sitting, 18:00–19:00, if you want to watch the fire work","Chef Mustafa Otar. Opened January 2026 as a chef's-table counter built on 'fire, emotion and roots'.","An open fire at the centre of the room, inside the Passage de Petits Champs at Meşrutiyet 67A, one of the 19th-century arcades linking Tepebaşı to İstiklal. Whole cuts over flame, sauces that do not shout, sourcing stated plainly. Erke's line is the right one: there is no show here, only craftsmanship. Dinner only, and you should book.","⚠ Hours conflict. A May 2026 review gives Monday–Saturday, kitchen 18:00–23:30 with the bar to 01:00, closed Sunday; a competing claim has it Tuesday–Saturday to 22:30. The venue's own site publishes no hours. Book on +90 533 636 62 73 — that is the number on the restaurant's own site; one listing prints ...62 74, so use the site number. Prices are not published. No verified coordinate: aim for No:67A inside the passage.","Tuesday or Wednesday, when the fire is not fighting a full room",The most recent of the significant openings,reported,https://www.google.com/maps/search/?api=1&query=Kontuar+Istanbul,confirmed,2026-08-15,none
Hodan,Opening,Beyoğlu (listed by some sources as Nişantaşı),"Harbiye, Mim Kemal Öke Cad., Nişantaşı, Şişli, İstanbul (one listing gives No:19 — unconfirmed)",+90 533 304 76 34,,,several,Modern Anatolian,"Gault&Millau Türkiye — one toque, 12,5/20 — plus the 2025 award for Istanbul's best brunch venue. Note the guide's own entry still prints the old Beyoğlu address.","Asma yapraklı balık, taş fırından|Dry-aged et|Crispy artichoke|Tiramisu",Not published,Advisable at weekends; +90 533 304 76 34,Late morning at the weekend,"One of Beyoğlu's most talked-about new chef restaurants, and already a brunch fixture. Sunday jazz brunch.","What it is really for is the weekend table, not a tasting menu. Gault&Millau Türkiye gives it one toque at 12,5/20 and named it Istanbul's best brunch venue on the 2025 list, and a breakfast service is due to start in September 2026. The move is the practical headline: most listings, the guide's own included, have not caught up.",⚠ Neighbourhood disputed across sources (Beyoğlu vs Nişantaşı) — confirm before travelling,Saturday or Sunday daytime — the brunch is the thing that won the award,2026 wave,canon,https://www.google.com/maps/search/?api=1&query=Hodan+Istanbul,confirmed,2026-08-15,none
Todos Los Días,Opening,Beyoğlu / Asmalımescit,"Asmalı Mescit Mah., Meşrutiyet Cad. No:67/B, Beyoğlu, İstanbul",+90 533 636 62 30,,,several,Comfort food,,Schnitzel with potato salad|Jasmine rice goulash|Vegetable salads,Not published,+90 533 636 62 30,"Breakfast, or the mid-afternoon lull","Esen Hünal, Maksut Aşkar and Erim Leblebicioğlu.","Aşkar cooking comfort food is an odd proposition and it works better than it reads: schnitzel with potato salad, vegetable salads, a jasmine-rice goulash, running from breakfast through to late. Akgün wrote it up in Hürriyet in July 2026 and said the quiet part out loud — she hopes it becomes a classic of its kind and lasts, which is not what you write about a room you expect to survive on its own. Come for breakfast or mid-afternoon, when it is not fighting for tables.","⚠ Hours unconfirmed, and a widely repeated 'closed Sunday' line is doubtful: the restaurant's own site publishes a Domingos brunch menu — Sunday — which is hard to square with shutting that day. No source that publishes verified hours could be found. Ring +90 533 636 62 30 (that is the number on the venue's own site; note Kontuar Pera next door at 67A is +90 533 636 62 73, one digit block apart, so read it twice). Prices are not published. No verified coordinate.",Any weekday; the room fills Friday and Saturday evening,Notable because Aşkar of Neolokal is behind it,reported,https://www.google.com/maps/search/?api=1&query=Todos+Los+D%C3%ADas+Istanbul,confirmed,2026-08-15,none
Indochine İstanbul,Opening,Bebek,"Bebeköy Sokak, Bebek, Beşiktaş, İstanbul (no verified street number)",+90 212 916 36 36,,,several,Vietnamese,,Shaking beef|Turmeric dill fish|Zabb prawn|Crispy whole chicken wings|Egg fried rice,Not published,Required when trading — +90 212 916 36 36; choose the 19:00 or the 21:00 seating,The 21:00 seating for the DJ and the bar; 19:00 if you want to hear each other,Chef Mahmut Can Kızılbay.,"⚠ Read the status before the sell. Every source describing this room dates from October 2025 or earlier; nothing published in 2026 confirms it is still trading, and it is absent from a July 2026 round-up of Bebek's best addresses. On the evidence that exists it is a small dining room and a garden, two seatings a night, a DJ and a serious cocktail list — a scene restaurant that happens to cook Vietnamese properly. Treat that as a description of the opening, not of today. Call before you go.","⚠ NOT CONFIRMED AS TRADING. The freshest source on this room is dated 6 October 2025; nothing since. ⚠ Two Indochines, and only one is this one: an unrelated Indochine off Kumbaracı Yokuşu in Tomtom closed and became Cochine years ago, and search engines and Time Out still surface that page first. No source publishes a street number on Bebeköy Sokak — a No:5 and a 7/1 both circulate and neither is confirmed, so the address here stops at the street. No verified coordinate. Hours below are from October 2025 and may be stale. Not re-confirmed as trading when we checked on 2026-08-15 — call ahead before you cross the city for it.",Thursday to Saturday for the room's own noise; Sunday's earlier start is the quiet option,2026 wave,reported,https://www.google.com/maps/search/?api=1&query=Indochine+%C4%B0stanbul+Istanbul,unverified,2026-08-15,none
Basta! Neo Bistro,Opening,"Caddebostan, Kadıköy","Caddebostan, Operatör Cemil Topuzlu Cad. No:39, 34728 Kadıköy, İstanbul",+90 216 755 77 50,,,several,Neo-bistro,In the 2026 MICHELIN selection,Söğüş dana beyin,Not published and not verified,Advisable; +90 216 755 77 50,Early — the kitchen is reported to stop at 22:00,"Kaan Sakarya and Derin Arıbaş, both trained in Michelin kitchens in France.","⚠ It is not a starred restaurant. It sits in the MICHELIN Guide Türkiye 2026 selection as a recommended address — no star, no Bib Gourmand — with a Gault&Millau Türkiye toque at 12,5/20 alongside. That is still worth crossing the water for: a small room on the Asian side where the Bağdat Caddesi food crowd actually eats, with a card that turns with the season and French technique put behind Turkish offal.",in the MICHELIN Guide Türkiye 2026 selection,Tuesday to Thursday; weekends fill,Newly in the 2026 selection,canon,https://www.google.com/maps/search/?api=1&query=Basta%21+Neo+Bistro+Istanbul,confirmed,2026-08-15,none
Lina Anatolian,Opening,Karaköy,"The Maestro Hotel, Meclis-i Mebusan Cad., terrace floor, Beyoğlu, İstanbul (no verified street number)",+90 543 508 03 40,,,several,Modern Anatolian|Bosphorus view,,Kalkan tandır|Tuzda balık|Vişneli yaprak sarma|Kesme mantı|Hamsiköy sütlacı|Izgara ahtapot,"Cold and shared plates 550–1,850 TL; hot starters 700–2,500 TL; mains 2,200–3,500 TL; kalkan tandır 6,500 TL; tuzda balık 7,800 TL; desserts 720–950 TL (June 2026)",+90 543 508 03 40 or reservation@linaanatolian.com,Arrive before sunset for the light on the water,"Regional Anatolian flavours through contemporary technique, over the Bosphorus — a refined interpretation rather than a recreation.","Honest about what it is: a terrace with a Bosphorus view where an experienced hotel chef cooks Anatolian dishes carefully rather than cleverly. The prices are published and steep — cold and shared plates 550–1,850 TL, hot starters 700–2,500 TL, mains 2,200–3,500 TL, kalkan tandır 6,500 TL and tuzda balık 7,800 TL, as reviewed in June 2026. It opened in 2026, so the room is still settling.","⚠ Sold as Karaköy, but the address is the Meclis-i Mebusan shore road, a walk east of Karaköy square — check the map before you set off. No source publishes a street number for The Maestro Hotel, so the address here stops at the street. Hours are not published anywhere; reserve on +90 543 508 03 40 or reservation@linaanatolian.com and ask. Signature fish runs 6,500–7,800 TL, so this is a planned evening, not a drop-in. No verified coordinate.",Any clear evening — the terrace is the point,The most watched of the summer's openings,reported,https://www.google.com/maps/search/?api=1&query=Lina+Anatolian+Istanbul,confirmed,2026-08-15,none
Lokanta Stambouli,Opening,Pera (Minoa Pera),"Asmalı Mescit Mah., Meşrutiyet Cad. No:99, Beyoğlu, İstanbul",+90 539 693 12 78,,,berth_top,Meyhane|Turkish and Rum tradition,,Lakerda|Tarama|Zeytinyağlı lahana dolması|Tarçınlı fasulye pilaki,,Do not assume it is taking bookings — status unconfirmed,None — watch @lokantastambouli,Opened by Perviz Resuli on the first floor of the historic Union Française building at Minoa Pera. Capacity 70. Explicitly marries the old Istanbul meyhane to Greek cooking.,"The most interesting new room in the city — a Rum meyhane revival opening in 2026 is a loaded act, and it is the living answer to this guide's history section","⚠ REPORTED CLOSED AND RELOCATING, UNCONFIRMED. The only source for the closure is the restaurant's own Instagram; the only sources for it still trading are listings that lag. Neither could be independently corroborated in this pass, so treat both as unproven and ring ahead or check @lokantastambouli. The last confirmed address is the Minoa Pera building at Meşrutiyet Cad. No:99 — it may no longer be there. No phone number could be verified. Coordinate deliberately blank. Not re-confirmed as trading when we checked on 2026-08-15 — call ahead before you cross the city for it.",None — check before planning,"Just opened, working explicitly in the Turkish AND Rum meyhane tradition",reported,https://www.google.com/maps/search/?api=1&query=Lokanta+Stambouli+Istanbul,unverified,2026-08-15,none
Seoul Kitchen,Opening,"Bomontiada, Şişli","Yapı Kredi bomontiada, Tarihi Bomonti Bira Fabrikası, Merkez Mah., Silahşör Cad., Birahane Sok. No:1, Şişli, İstanbul",,,,several,Korean|Pop-up,,Korean fried chicken|Tteokbokki|Jajangmyeon|Kimbap,Not published and not verified,Reported to take none — walk in,Early evening,Jimmy & Jin.,"⚠ Read the status first. Nothing published in 2026 could be found to confirm it is still there — the one 2026 write-up cited for it no longer resolves, and the group's own brand page could not be reached. On the October 2025 evidence it is Korean fried chicken, tteokbokki, jajangmyeon and kimbap, built for sharing, inside Bomonti's converted brewery. Worth an hour if it is trading. Check before you make a trip of it.","POP-UP — will not last · pop-up — no stated end date, will not last Not re-confirmed as trading when we checked on 2026-08-15 — call ahead before you cross the city for it.","Any, if it is trading",Catch it now or not at all,reported,https://www.google.com/maps/search/?api=1&query=Seoul+Kitchen+Istanbul,unverified,2026-08-15,none
Østre,Opening,Cihangir,"Firuzağa Mah., Bostanbaşı Cad. No:4/B, 34425 Beyoğlu, İstanbul",+90 539 851 29 21,,,several,Oysters|Raw bar,,Taze istiridye|Trüflü deniz taraması|Karides carpaccio,"Not published — oysters and caviar, so budget accordingly","Phone +90 539 851 29 21, per the single listing that carries it. No online booking found.",Evening,A small seafood bar built on oysters and raw fish.,"A raw bar that exists in Turkish city-guide listings and, as far as we can establish, nowhere else. The listings are specific — street number, phone, opening hours, two named dishes — but they trace back to a single publisher, and our own independent searches returned the same material recycled and nothing new. It appears in neither Vogue Türkiye's nor Gazete Oksijen's new-openings round-ups. We could not confirm from a second, independent source that it was trading on 15 August 2026.",Limited seating — reservations needed for evening service Not re-confirmed as trading when we checked on 2026-08-15 — call ahead before you cross the city for it.,,2026 wave,reported,https://www.google.com/maps/search/?api=1&query=%C3%98stre+Istanbul,unverified,2026-08-15,none
