name,category,neighborhood,address,phone,lat,lng,tier,product_tags,recognition,what_to_order,price_range,reservation,best_time,notes,verdict,caveat,iconic_orders
Cal Formatger,Cheese,Barri Vell · Carrer de la Cort Reial,"Carrer de la Cort Reial 12, 17001 Girona",+34 677 835 580,41.9861,2.8244,several,200+ cheeses; Garrotxa; Tasting,A cheese room built on Girona-province makers — Garrotxa goat's cheese front and centre,"The Girona-comarca board, cut to order — start with the grey-rinded, hazelnut-sweet goat's cheeses.",EUR 10–25 (board),Walk-in to shop; ask ahead for a private tasting,Late morning,"Small room, opens 10:30; closed Sun & Mon",The quesería Guía Repsol bills as Joan Roca's favourite in his own city — proof a province of small dairies can carry a counter alone.,"Shut Sunday and Monday, and the counter goes dark mid-afternoon most days; tastings want notice, not a walk-in.","Les Safates — the cut-to-order cheese board — Four sizes, Parella €25 to XXL €55 — 'acadèmicament tallats', laid with grace.; Puigpedrós (Molí de Ger) — Pere Pujol's washed-rind raw cow from Ger — orange rind, Munster-like, intensity 5/5.; Glauc (Formatgeria Xauxa, Les Preses) — Paula Fonollà's creamy raw-milk blue from Les Preses — Lactium 2021 best Catalan cheese.; Tou del Lluçanès — Their 'torta de vaca a la catalana' — spoon-soft raw cow's cheese, €15.; Cervesa Minera — Craft beer brewed in Sant Joan de les Abadesses — full Minera catalogue stocked.; Audio tast premiats — guided tasting pack — Cheese packs with the shop's audio-guided tastings — at home, or in-shop with makers."
Arròs 9 by Terram,Rice,Barri Vell · Carrer Ginesta,"Carrer Ginesta 8, 17004 Girona",+34 629 420 183,41.986,2.825,plenty,Rice; Casual; Terram,"The casual rice-focused offshoot of the gastronomic Terram, same chef","Arròs del senyoret amb llagosta — lobster rice, everything peeled, spoon straight to the crust.",EUR 20–35 pp,Weekend lunch,Lunch,Rice dishes usually need two — call ahead if solo,"Not a photo-menu paella stop — Terram's chef directs the rice pans, and each arròs is built on its own sofregit.","Shut Wednesdays, and dinner only four nights a week — Sundays and Tuesdays it's lunch or nothing.","Arròs del senyorit, de bogavante — sec — Peeled lobster rice, nothing to shell — spoon straight down to the socarrat; minimum two.; Arròs sec de porc ibèric flambejat — Grill-soaked grains, flambéed presa ibèrica; reviewers singled out the morcilla alioli.; Arròs negre sec — Squid-ink dry rice with langoustines and saffron lactonesa — scrape the toasted crust.; Croquetes de rostit tradicional — Three-roast-meat croquettes, molten centre, ordered by the piece.; Xuixo de Girona flambejat al rom — Girona's cream-filled pastry from Can Castelló, rum-flambéed, with vanilla ice cream."
Can Castelló,Pastry,Barri Vell · Carrer de l'Argenteria,"Carrer de l'Argenteria 7, 17004 Girona",+34 747 439 949,41.98477,2.82445,plenty,Xuixo; Since 1898; Catering,Brands itself the keeper of the early xuixo recipe (its 116-year Santa Clara flagship closed 2014),"The classic crema xuixo, eaten warm — sugar crust cracking into soft crema catalana.",EUR 3–4 per xuixo,Walk-in,"Morning, fresh batches",Argenteria 7 is the only Girona address — the Calderers counter is gone; the 'best xuixo' title is contested (Tornés won the 2026 world contest),Not the 2026 world-champion xuixo — Tornés took that — but the only house on earth frying nothing else.,"A branded flagship, not the vanished old bakery — the frying happens in Banyoles, the Calderers counter is gone, and Argenteria 7 is the only address.","Xuixo de Crema — The classic, warm — crackling sugar crust into soft egg-rich crema; their best-seller.; Xuixo de Crema de Ratafia — Cream cold-infused with ratafia herbs, finished with the Catalan liqueur itself.; Xuixo de Cabell d'Àngel — Silky candied-pumpkin strands inside the fried, sugar-rolled lamination."
La Fàbrica,Coffee,Barri Vell · Carrer de la Llebre,"Carrer de la Llebre 3, 17004 Girona",+34 872 000 273,41.9852,2.8221,plenty,Specialty coffee; Brunch; Cyclists,"Girona's first third-wave café, founded by a pro cyclist and his wife — hub of the city's riding scene",The brunch board with a filter coffee — beans they roast themselves at Espresso Mafia.,EUR 10–18,None — expect a wait at peak brunch,Weekend morning,"Open daily 9:00–17:00, incl. Sundays — useful when the rest is shut",Girona's first third-wave café — the 2015 original the city's whole cycling-coffee scene grew out of.,"No bookings, a wall of Lycra at weekend brunch, and doors shut at five — dinner is elsewhere.","Flat white — Double shot under foamed milk — beans Meier roasts himself at Espresso Mafia; Nordic bagel — Herb cream cheese laid on thick, smoked salmon, shaved cucumber; Fruity Forest — Violet-sugar yoghurt ringed by a kaleidoscope of tropical fruit; Cafè amb gel — Order iced espresso, cold brew arrives — Meier refuses to ice-shock his roasts; Pulled pork bagel — Tender pulled pork, melted cheese, bright mango salsa — post-ride fuel"
Mercat del Lleó,Market,Mercadal · Plaça Calvet i Rubalcaba,"Plaça Calvet i Rubalcaba 15, 17002 Girona",+34 972 201 163,41.979557,2.822663,plenty,Municipal market; Fish; Producers,"The working municipal market, in a purpose-built 1944 hall of ~1,712 m² and ~60 stalls","Day-boat Costa Brava fish off the Salvador counter — bright-eyed, stiff, smelling of the sea.",Market prices,—,07:00–10:00 for the best fish and produce,"Mon–Fri 07:00–14:00, Sat 07:00–14:30; closed Sun. A locals' market, not a tourist stop","The 1944 hall Girona still cooks from — a working larder, not a food-hall conversion.","Shut Sundays and wound down by two; after ten the fish is picked over — come to shop, not to graze.","Peix de costa — Peixateria Salvador (parades 74–75, 91–93) — Llançà, Roses and Blanes day-boats — bright-eyed, stiff, smelling of clean sea; Botifarra dolça — Empordà's sweet pork sausage — sugar and lemon peel; fry with Girona apple; Poma de Girona (IGP) — Sea-tempered plain-grown apples — Gala, Golden, Granny Smith; EU PGI since 2003; Bacallà — Món Salat (parades 78–80) — Top-grade salt cod plus brandada, piquillos, olives, bunyols de bacallà; Formatges de Mas Alba — El Petit Productor (parades 56–59) — The Vilademuls farm's own stall — seven goat cheeses; try Babaus, Petitot; Salsafins — October-to-April Girona root — sweet, delicate; classically stewed with duck"
Espelt Viticultors,Winery,Alt Empordà · Vilajuïga (≈50 min NE),"Mas Espelt, 17493 Vilajuïga, Girona",+34 972 531 727,42.33,3.05,plenty,DO Empordà; Organic; Cellar visit,"One of the largest DO Empordà producers, farming organically on the Alt Empordà","Airam: grandfather Lluís's solera Garnatxa — gold shading to red, every vintage since 1997.",EUR 10 (visit) + bottles,Required for the visit,Morning slot,"Province, not city — an hour out; the town coordinate is approximate",The big estate that farms like a small one — 200 organic hectares of DO Empordà with a solera in the cellar running back to 1997.,"Book and pay online first — the 11:00 vineyard tours run on set dates only (weekly in August, thin the rest of the year), €27–38 a head, and it's a good fifty minutes from Girona; make it a Cap de Creus morning, not a detour.","Airam — Grandfather Lluís's solera since 1997 — gold-to-red; rosemary honey, nuts, cinnamon.; Coma Bruna — Century-old Carinyena on Rabós slate — plum, truffle; Decanter 94 (Evans).; Sauló — The soulful young Garnatxa–Carinyena — violets, rosemary, garriga herbs; Vinari Gold 2021.; La Vella — Near-extinct Carinyena Blanca, century vines, cement-egg lees — hazelnut, orange peel.; Garnatxa de l'Empordà (50 cl) — Bright-amber natural sweet Garnatxa — cherry, honey, herbs; half-bottle for the galley.; Vinagre de Garnatxa — Garnatxa-only wine vinegar — blackberry-sharp; a teaspoon wakes stews and braises."
Esperit Roca,Michelin,La Fortalesa · Sant Julià de Ramis (10 km N),"Castell de Sant Julià de Ramis, Muntanya dels Sants Metges, Carrer Major s/n, 17481 Sant Julià de Ramis, Girona",—,42.0321,2.8472,several,1 Michelin; Roca; Distillery,"1 MICHELIN star, first awarded Guide España 2025, retained 2026; the Roca brothers' fort project (opened May 2024)","Toda la gamba — Palamós red prawn marinated in seaweed vinegar and katsuobushi; prawn velouté, sauce of the head, crisp legs, citric caviar, a concentrated distillate of the coral.","€€€€ — Salty Spirit menu €170, Sweet Spirit menu €139, à la carte available",Books 90 days out; EUR 50 pp late-cancellation fee,"Lunch (Fri-Mon), for the views over Girona",Closed Tue-Wed; dinner Thu-Sat only; holiday closure 3-11 Nov 2026,"This is El Celler's back catalogue served under its own Michelin star — bookable ninety days out at €170, where the mothership takes eleven months and some €145 more.","Not El Celler and not pretending to be — this is the archive, refined, not the frontier. You need a car or taxi up the hill from Girona; Tuesdays and Wednesdays are dark; dinner runs only Thursday to Saturday; and €139–170 before wine is real money for revival dishes.","Toda la gamba (2012) — Palamós red prawn — seaweed-vinegar marinade, head sauce, crisp legs, coral distillate.; Mar y montaña vegetal (2007) — Plankton mousse, seaweeds, salicornia, enoki — surf-and-turf rendered wholly in vegetables.; Brioche de pularda — Poularde brioche with a crackling, Pithiviers-like crust — on the Salty Spirit menu.; Libro viejo (2017) — Jordi Roca's enfleurage old-book scent over Earl Grey cream, madeleine ice cream, mille-feuille.; Ginebra de Té de Roca — House-distilled rock-tea gin — Jasonia glutinosa on Penedès-wine spirit; made to sip neat."
Can Roca,Menú,Taialà,"Ctra. de Taialà, 42, 17007 Girona",—,41.99429,2.8063,Where the chefs eat,,"El Celler de Can Roca's staff eat their daily lunch here — Joan Roca sends his three-star brigade, seventy-plus strong, to his parents' dining room between services.","The menú's fish day — rap a la marinera, monkfish yielding under a dense marinera sauce that asks for bread.",menú del dia,,,"Mon–Fri: bar 6:30–17:00, fork breakfasts 8:30–10:30, menú 13:00–15:30 in two sittings. Closed Sat–Sun.","The cheapest sit-down meal in the Roca universe — €18 buys lunch from the family kitchen that raised a three-Michelin-star dynasty, and the Celler's own brigade eats it daily.","A formica-and-telly neighbourhood bar half an hour's walk from the Barri Vell, weekday lunch only — go for the cooking and the story, not a sighting of the brothers; the menú has crept from €16 (2023) via €17 (spring 2025) to €18 (autumn 2025), and August closing is unverified, so ring 972 20 51 19 before crossing town.","Menú del dia — A short slate of firsts and seconds rotating daily — spoon dishes and seasonal stews up front, rice on its appointed day; €18, autumn 2025.; Rap a la marinera — Monkfish fresh and yielding in a dense marinera that asks for bread — documented on the menú as far back as 2016.; Calamars a la romana — Doña Montse's own recipe, ordered as an extra over the menú (€10.50, 2023) — a light fry, crisp jacket, the squid tender beneath.; Esmorzar de forquilla — Fork breakfast, 8:30–10:30 — the working-Girona ritual of stew before ten, added to the bar's slate in 2024.; Postres casolans — Crema catalana, arròs amb llet, baked apple, lemon mousse — homemade closers; the Rocambolesc gelat on the counter is a 2016 sighting."
Dit i Fet,Bistró,Barri Vell,"Carrer dels Calderers, 10, baixos, 17004 Girona",—,41.9876,2.8243,Where the chefs eat,,"Joan Roca names it his place to eat in Girona — 'run by people who had worked with us' (Infobae, 2025).","★ Tortilla cremosa de gamba de Palamós — a barely-set omelette running with Palamós red prawn, the coast folded into eggs (€24).",ex-Celler crew,,,"Thu–Mon 09:30–17:00 & 19:30–00:30, kitchen 13:00–15:00 / 20:00–22:30 — closed Tue–Wed (official site, 2026)","Joan Roca's named pick to eat out in Girona — ex-Celler craft at €40–50 a head, and the 2026 Michelin Guide agrees it belongs on the map.","Closed Tuesday and Wednesday and the secret is out — reserve. At €40–50 a head it sits at the dear end of 'casual', and the short seasonal card means a dish you read about may have rotated off.","Tortilla cremosa de gamba de Palamós — Custard-loose centre carrying the sweet iodine of Palamós red prawn — €24, and one of the two dishes the Michelin inspectors single out.; Croquetes de rabo — Slow-braised tail meat under a shattering crumb — billed as Girona veal-tail in Infobae's 2025 write-up, listed as oxtail croquettes on the current menu.; Tartar de vieira, oliva manzanilla i piparra — Scallop tartare with manzanilla olive and piparra sauce — the 2026 Michelin inspectors' other named pick.; Cap i pota — Old-Girona stew of head and trotter, €19.50 on the July 2026 card — offal cookery with Celler discipline; not for the timid.; Xuixo a la brasa — La Puntual's cream-filled xuixo — Girona's own pastry — charred over the grill with vanilla ice cream melting against warm caramelised sugar; €7.50 of terroir as dessert."
SAFO,Vi natural,Barri Vell — by Plaça del Vi,"Carrer Nou del Teatre, 2, 17004 Girona",—,41.9826,2.8248,Where the chefs eat,,"Joan Roca: 'Not only our friends and neighbours — very good natural wines. And you eat very well' (Infobae, 2025).",★ Crispy octopus quesadilla with avocado cream — Richter's Mexico–Catalunya axis in a single bite.,natural wine,,,"Jul–Aug: Mon–Fri 19:00–24:00, dinner only · rest of year: Tue 20:00–24:00, Wed–Sat 13:00–16:00 & 20:00–24:00; kitchen 13:00–15:30 / 20:00–22:00 (official site, 2026)","Girona's most serious natural-wine room wearing its least serious face — vouched for, in print, by the three-star neighbour up the street.","July–August is dinner only, Monday–Friday — and the one-page menu changes constantly, so the dish you read about may be gone. Natural wine means funk: trust Víctor rather than asking for Rioja.","Crispy octopus quesadilla, avocado cream — Griddle-blistered tortilla, tender octopus, cool avocado — the house's two homelands on one plate.; Stracciatella galette with grilled bimi — Milky stracciatella against grilled bimi, chopped nuts and sea fennel — though the galette's topping turns with the market week to week.; Natural wine by the glass — Víctor Martín's low-intervention cellar, Catalan and beyond — he learned the genre at Barcelona's Bar Brutal; say what you like, let him pour."
Nomo Girona,Japanese,Barri Vell — Pujada de la Mercè,"Pujada de la Mercè, 10, 17004 Girona",—,41.9817506,2.8249132,Ethnic tables — the special ones,,"Opening covered by El Punt Avui (22 October 2021) — the 'emblematic' Jardins de la Mercè manor, with its protected and officially catalogued romantic garden, reopened by the Catalan-Japanese group, chef-partner Naoyuki Haginoya named at the stoves.","Menú Naoyuki — the chef-partner's fourteen-course €50 set run, truffled edamame through yuzu mochi",Japanese,,,"Lunch 13:30–17:00, dinner 20:00–24:00 — but aggregators disagree on days (daily vs closed Monday with Sunday lunch only) and the group site publishes none; confirm on +34 972 22 68 45","A group outpost that out-sites the town's independents — dining rooms wrapped round a protected, city-catalogued 1900 romantic garden, with a Tokyo-formed partner-chef writing the menu.","It is the tenth opening of a twelve-strong Catalan group, not a chef-owner's only room — the same Naoyuki menu runs in Barcelona and Madrid, and it holds no Michelin or Repsol mention; here you are paying, in part, for the garden.","Menú Naoyuki (€50) — Fourteen courses — the chef-partner's whole argument in one sitting: truffled fried edamame, sukiyaki croquette, gyu-niku gyoza, ebi chili — izakaya comfort run through Mediterranean product.; Sukiyaki croquette — Japanese-style oxtail croqueta under hard panko — molten, beefy centre; the house's Catalan-Tokyo handshake in one bite.; Ebi chili — Spicy prawns with fried egg — Haginoya's Tokyo comfort register, closer to izakaya than sushi counter.; Butter-fish nigiri — Silky and fat-rich, cut with kimchi sauce and pickled piparras — on the current Naoyuki card.; Yuzu mochi with white chocolate — The set's current close — citrus sharpness in a soft rice skin; the card rotates, so expect movement here."
El Cul de la Lleona x Catmandu,Nepali,Barri Vell — Carrer dels Calderers,"Carrer dels Calderers, 8, 17004 Girona",—,41.9875162,2.8241725,Ethnic tables — the special ones,,,Curry de pollo nepalí — the plate the house itself flags as its most-loved,Nepali,,,Mon–Wed & Sun 12:00–16:00; Thu–Fri 12:00–16:00 & 19:30–22:30; Sat 12:00–16:00 & 19:00–23:00,"The only Nepali kitchen we could verify inside the Barri Vell — worth the detour for momos beside the lioness gironins kiss to come home, not for fine-dining polish.","No bylined review or guide mention exists — the signal here is the place, not the press; dinner is Thursday to Saturday only, the city's roster still carries a stale pre-rebrand tapas listing, and historians note the lioness-kissing rite is itself a later embellishment — kissed daily all the same.","Mo:mo (5 u, €8–12) — Nepali dumplings five to a plate, veg or meat, steamed or fried — the C-momo version arrives in a tomato-vegetable sauce; the litmus test of any Nepali kitchen.; Curry de pollo nepalí — Slow, spice-deep, with basmati rice — the house's own site calls it the most appreciated plate on the card, and it anchors the lunch menú too.; Dal bhat (veg €12 / chicken €14.50) — Nepal's national plate in full — curry, lentil soup, basmati and potato salad on one tray; order it and eat like Kathmandu.; Vedella a la cassola — Beef stewed in wine and beer with chimichurri and fried vegetables — the Catalan half of the marriage, pure menú-del-dia soul.; Craft beer from the fridge — Artisan and international bottles chosen to stand up to spice — this is still, at heart, a Girona bar."
